id,account_status,address,city,country,email,first_name,last_name,password,phone,state,stripe_token,subscription_end,subscription_type,username,zip_code,role
1,Okay,Admin Street,Delta,Canada,admin@admin.com,Thanos,Power Glover,#admin,123456789,British Columbia,,,0,Thanos,V4C 2X7,admin
2,Okay,75762 Golf View Circle,Virginia Beach,United States,admin2@admin2.com,Marlow,Dooly,#admin,757-272-1653,Washington,,,0,Ant Man,23459,admin
3,Okay,3 Upham Lane,Domampot,Philippines,admin3@admin3.com,Shaina,Capstick,#admin,679-781-5438,Ontario,,,0,Admin2,2445,admin
4,Okay,5 Burrows Plaza,Magetlegar,Indonesia,bduhigb@instagram.com,Bord,Duhig,iM9~>T1lo=gSx,620-977-6463,Yukon,,,0,bduhigb,2445,admin
5,Okay,269 Riverside Terrace,Saltsjöbaden,Sweden,icressarc@e-recht24.de,Isis,Cressar,rZ4)$)GfSuQ~7,325-743-7411,Washington,,,0,icressarc,133 34,admin
6,Okay,68 Red Cloud Junction,Xialu,China,johanlon5@netscape.com,Jackquelin,O'Hanlon,gR8_I~>&+,559-331-2740,California,,,0,johanlon5,134 34,admin
7,Okay,779 Lighthouse Bay Trail,Hanchang,China,aendricci6@google.com.br,Adrea,Endricci,oH2&u<w.('w*,760-282-7053,New Jersey,,,0,aendricci6,135 34,admin
8,Okay,2592 Golden Leaf Way,Curití,Colombia,lhanstock7@google.fr,Lulu,Hanstock,bY3\(+VJL,664-830-6603,Quebec,,,0,lhanstock7,684039,admin
9,Okay,8 Basil Circle,Daxi,China,tcamacke8@ucoz.ru,Tisha,Camacke,zE7'eoI@TW,460-855-2085,Edmonton,,,0,tcamacke8,684039,admin
10,Okay,68452 Tony Park,Pescadería,Dominican Republic,ahaggerstone9@uol.com.br,Adolphe,Haggerstone,sA8@J_h2O,241-304-3118,British Columbia,,,0,ahaggerstone9,11207,admin
11,Okay,Premium Street,Richmond,Canada,premium@premium.com,Tony,Stark,#premium,789789,Yukon,,2024-06-16,1,Tony Stark,11207,premium
12,Okay,0855 7th Terrace,Sindangkerta,Indonesia,premium2@premium2.com,Lexine,Romaine,#premium,849-197-3665,New York,,2023-08-13,1,Captain America,11207,premium
13,Okay,0 Mariners Cove Plaza,Qaşr Hallāl,Tunisia,premium3@premium3.com,Isacco,Wandrich,#premium,158-227-5442,New York,,2023-05-15,1,Doctor Strange,11207,premium
